TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
29.525333333,-167.884,0.674695,0.438007,19.5488,-8.17529,4.18283,1.79399,7.77478,-3.5471,5.91469,-1.19317,6.91166,-3.33554,4.35668,1.64424,1.68518,-1.58594,4.40002,0.588153,6.46806,0.799329
29.546666667,-161.25,1.36104,-5.16485,22.304,-6.7819,8.97574,-2.15036,8.64416,-1.67857,8.068,-4.25056,4.15116,-6.20686,6.92598,-1.78979,5.13573,-1.88427,6.26904,-0.645544,5.91848,-2.96626
29.568000000,-170.758,17.1409,-1.91151,13.1179,-3.94009,7.20037,-1.73481,3.51177,-6.52795,4.11422,0.212682,7.20057,1.04379,3.98512,-1.91194,4.92628,-1.3164,2.28613,-1.64168,-0.88751,-1.04925
29.589333333,-172.995,24.0681,-6.25532,10.6713,-10.5903,6.0717,-3.06365,11.1181,-4.95228,3.18991,-1.6667,6.14219,4.13963,2.22714,-2.88507,3.65246,-6.81403,3.06892,3.48266,1.0824,0.949884
29.610666667,-178.376,28.6603,-9.81235,5.43027,-10.3333,3.65794,-2.18072,11.1372,-0.874395,4.16637,1.36021,5.46115,3.8781,1.42528,0.537985,4.62338,-4.67863,0.213102,3.9565,5.49752,0.607289
29.632000000,-185.004,26.9271,-11.721,4.38677,-10.5565,4.15062,1.41961,12.2343,1.27239,7.23662,-1.08624,4.22716,3.15644,3.08062,-0.750568,6.22239,-3.18732,0.914051,1.84701,7.04645,-1.55063
29.653333333,-156.888,15.126,3.97008,2.2831,-4.45568,5.15373,2.24934,7.32833,1.77959,2.0225,-0.900287,3.13124,0.981378,3.82877,-1.39576,5.26438,-3.36173,-1.44863,-1.77622,4.47187,-0.642856
29.674666667,-162.136,12.5283,4.42455,3.5186,-8.15614,3.5006,-1.21443,9.13284,4.25139,6.28755,-2.81233,5.57318,-2.34541,3.75496,-1.69481,4.56652,-5.80015,-0.296818,-1.54921,9.43982,0.444111
29.696000000,-183.604,2.82513,5.31315,7.1601,-7.06462,7.86355,-0.0471425,5.95335,-2.64487,4.32374,0.971047,9.30157,-2.00186,4.15226,-1.89856,7.35153,-5.0584,1.59833,-5.90515,4.02382,0.28694
29.717333333,-209.317,30.7131,-2.40476,8.21517,-3.78242,7.10621,1.58067,8.96843,-2.69772,7.1033,5.20367,10.2587,-2.07608,5.29509,-2.41488,6.57235,-1.20198,0.453362,-4.34916,4.43997,0.443108
