"","Track URI","track_name","album_name","artist_name","release_date","song_dur","pop","exp","Added By","Added At","genre","record_label","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_sig","artist_group","mean_song_dur","mean_pop","mean_exp","mean_danceability","mean_energy","mean_loudness","mean_speechiness","mean_acousticness","mean_instrumentalness","mean_liveness","mean_valence","mean_tempo"
"24","spotify:track:62wtttQzoIA9HnNmGVd9Yq","Two Words","The College Dropout - 2004","Kanye West",2004-02-10,266213,63,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap,east coast hip hop,old school hip hop,hip hop,southern gospel","Roc-A-Fella",0.442,0.807,6,-4.753,1,0.265,0.0158,6.43e-06,0.217,0.446,84.649,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"25","spotify:track:4mmkhcEm1Ljy1U9nwtsxUo","Through The Wire","The College Dropout - 2004","Kanye West",2004-02-10,221226,76,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap","Roc-A-Fella",0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"26","spotify:track:5DBmXF7QO43Cuy9yqva116","Family Business","The College Dropout - 2004","Kanye West",2004-02-10,278893,69,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap","Roc-A-Fella",0.744,0.524,1,-7.452,1,0.21,0.139,0,0.392,0.606,93.691,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"27","spotify:track:7iOhWWYjhhQiXzF4o4HhXN","Last Call","The College Dropout - 2004","Kanye West",2004-02-10,760973,62,TRUE,"bobrossthelegend",2026-02-16 17:28:52,"rap","Roc-A-Fella",0.473,0.727,8,-6.843,1,0.356,0.577,0,0.316,0.854,83.212,4,"Kanye West",218258.047619048,59.5238095238095,0.952380952380952,0.57952380952381,0.593571428571429,-7.79642857142857,0.407614285714286,0.360021904761905,6.54285714285714e-07,0.321,0.665,109.784142857143
"28","spotify:track:6yIjtVtnOBeC8SwdVHzAuF","Heard 'Em Say","Late Registration - 2005","Kanye West",2005-08-30,203733,67,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap","Roc-A-Fella",0.744,0.696,7,-8.313,0,0.162,0.0535,0.0454,0.128,0.563,95.07,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"29","spotify:track:2dxjKgT0li4qBI3QwuN9Ih","Touch The Sky","Late Registration - 2005","Kanye West",2005-08-30,236600,80,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap","Roc-A-Fella",0.552,0.846,9,-4.912,1,0.342,0.0114,0,0.309,0.554,98.56,1,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"30","spotify:track:1PS1QMdUqOal0ai3Gt7sDQ","Gold Digger","Late Registration - 2005","Kanye West",2005-08-30,207626,80,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"31","spotify:track:6vB49BJ70zBpDrrAPwdaB8","Drive Slow","Late Registration - 2005","Kanye West",2005-08-30,272226,60,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap,southern hip hop,crunk","Roc-A-Fella",0.593,0.593,11,-8.216,1,0.289,0.0306,9.94e-06,0.229,0.488,81.291,1,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"32","spotify:track:4fRTe59xEeNHT4uyAGsV27","Crack Music","Late Registration - 2005","Kanye West",2005-08-30,270866,55,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap,west coast hip hop,old school hip hop,hip hop,gangster rap","Roc-A-Fella",0.726,0.712,11,-6.288,0,0.209,0.00975,0.000477,0.345,0.554,168.121,5,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
"33","spotify:track:2DHNCWZYmVr1Lv08q5b0kB","Roses","Late Registration - 2005","Kanye West",2005-08-30,245866,68,TRUE,"bobrossthelegend",2026-02-16 17:28:55,"rap","Roc-A-Fella",0.723,0.465,3,-6.454,0,0.0952,0.259,2.7e-05,0.108,0.513,97.702,4,"Kanye West",200105.666666667,57.5714285714286,1,0.595619047619048,0.63647619047619,-7.8592380952381,0.3764,0.18024619047619,0.00218663333333333,0.200980952380952,0.520904761904762,97.7745238095238
