TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
233.600000000,1.98465,0.112052,0.137601,1.89946,0.126681,0.879349,0.0277731,2.06116,0.309666,0.0327813,0.159018,0.0843157
233.642666667,2.05711,0.638304,0.736295,1.49512,0.124058,0.794552,0.045187,1.94808,0.420859,0.0184621,0.175705,0.137116
233.685333333,2.26407,0.514137,1.97077,0.547571,0.0804378,0.200135,0.0794846,1.92136,0.559184,0.133716,0.393925,0.119569
233.728000000,2.14512,0.107856,2.32123,0.25664,0.293875,0.163395,0.0750965,2.05036,0.49007,0.130395,0.419602,0.0480424
233.770666667,2.18764,0,2.45519,0.0637337,0.194049,0.285885,0.112951,2.20123,0.485246,0.141868,0.334725,0
233.813333333,2.25928,0.0174859,2.55043,0.33313,0.146145,0.301677,0.104244,2.22013,0.36825,0.166482,0.00064213,0.172821
233.856000000,2.53711,0.0122057,2.47438,0.577623,0.0634691,0.649639,0.378761,1.47155,0.00237279,0.174656,0.00146729,0.828304
233.898666667,2.66235,0.00505033,1.38993,0.696996,0.178883,0.737394,0.16791,1.4995,0.00485227,0.133209,0.369799,0.942481
233.941333333,2.09713,0.0716588,0.623541,0.749958,0.600036,0.681244,0.027492,1.99955,0.403052,0.137301,0.610392,0.666567
233.984000000,1.54227,0.286206,0.50555,0.449302,0.501866,0.682934,0.267451,1.74915,0.571663,0.34357,0.906388,0.498891
234.026666667,1.69265,0.276456,0.567352,0.586437,0.378224,0.794467,0.251853,1.61778,0.642744,0.356835,0.266922,0.465416
234.069333333,1.95071,0.0973225,0.618318,0.720342,0.063752,0.637959,0.272024,1.91325,0.547229,0.471516,0,0.473307
234.112000000,2.22083,0,0.648886,0.676262,0.0186087,0.966506,0.54423,2.15359,0.178591,0.483755,0.196264,0.44698
234.154666667,1.86055,0.00129111,0.591693,1.01891,0.218598,1.37519,0.830164,2.16223,0,0,0.943719,0.370593
234.197333333,0.982123,0.0013563,0.709051,1.30666,0.00273161,1.48346,0.80382,1.62826,0.0554593,0,2.08762,0.306656
234.240000000,0.428329,0.00474437,0.70907,1.43148,0.0264875,1.38775,0.735921,1.40761,0.0665941,0.0789363,2.09736,0.0862085
234.282666667,0.290528,0.00490435,0.537109,1.45365,0.031013,1.10627,0.282791,1.54267,0.0742342,0,2.22422,0
234.325333333,0.292931,0.0796689,0.627837,1.60774,0.142876,0.566886,0.396933,1.863,0.0587549,0.0776404,2.12166,0
234.368000000,0.441545,0,0.711898,1.64889,0.0637293,0.827402,0.192814,1.84632,0.137355,0.0987147,2.24676,0.0115484
234.410666667,0.399804,0,0.648631,1.6963,0.0961334,1.13093,0.0449031,1.9804,0.0711909,0,2.29839,0.106385
234.453333333,0.0403886,0.000129055,0.725452,2.13472,0.070774,0.992779,0.0557833,2.35344,0.00907954,0,2.13496,0.171806
234.496000000,0.169798,0.0675703,0.160662,2.82849,0.170005,0.521399,0.109049,2.4592,0.0124582,0.142744,2.14057,0.138023
234.538666667,0.330319,0.20873,0.141063,3.22696,0.0947927,0.662933,0.100806,2.22991,0.0716469,0.368485,1.84494,0.0542466
234.581333333,0.348227,0.0440129,0.190234,3.44355,0,0.940017,0.034045,2.18741,0.108888,0.0894423,1.90977,0.101752
234.624000000,0.595023,0.386373,0.0723806,3.50187,0.0688976,0.660748,0.147735,2.3007,0.123948,0.0638941,2.07433,0.00845521
234.666666667,0.640093,0.445156,0.0640621,3.39182,0.0388723,0.455606,0.402168,1.855,0.117064,0.85171,1.45119,0.237276
234.709333333,0.73132,0.307071,1.13182,2.8072,0,0.406245,0.819917,0.914511,0.112577,1.05147,0.779581,0.237175
234.752000000,0.760076,0.319768,2.42272,1.24207,0,0.643662,1.24052,0.466969,0.199607,1.07858,0.937056,0.0781794
234.794666667,0.769837,0,2.7969,0.454194,0.240856,0.779294,1.09069,0.972408,0.315174,1.03414,0.542908,0.253838
234.837333333,0.943491,0,2.65425,0.85919,0.244446,0.504758,1.37673,1.17629,0.347725,0.928238,0.184847,0.236539
234.880000000,0.718031,0.207688,2.68643,0.988176,0.0399718,0.605198,1.36448,0.754138,0.240542,0.306317,0.431895,0.259942
234.922666667,0.52701,0.207726,2.84277,0.887742,0.029018,1.10155,0.992723,0.328374,0.0426823,0.131937,0.504079,0.464296
234.965333333,0.968358,0.205491,2.85925,0.461347,0.0245977,1.69385,0.471875,0.783972,0.0162614,0.00488979,0.649781,0.315326
235.008000000,1.92751,0.000582891,2.11999,0.24182,0.242698,2.05864,0.109201,1.5245,0.0118264,0,0.551183,0.226767
235.050666667,2.57533,0.0014487,1.27426,0.697444,0.256054,1.63916,0.0720484,1.88289,0.00096832,0,0.102967,0.264423
235.093333333,2.77979,0.00020611,1.10515,0.998361,0.191117,0.992829,0.0745534,1.71188,0,0,0.00591953,0.465444
235.136000000,2.55885,0,1.35118,1.12812,0.137903,0.835487,0.186717,1.42377,0.141466,0,0.0395438,0.739747
235.178666667,1.9735,0,1.23855,1.26877,0.148375,1.06955,0.729287,1.36087,0.127577,0,0.0705234,0.387278
235.221333333,1.86884,0.000608912,0.963948,1.30523,0.27337,1.13598,0.84412,1.33189,0.0716442,0,0.0745367,0.0987803
235.264000000,1.82233,0.00404765,0.737778,1.13228,0.282081,0.935785,0.731827,1.31981,0.00643337,0.11284,0.0417406,0.097207
235.306666667,1.67188,0.00534727,0.749435,1.20738,0.454614,0.85676,0.720084,1.01104,0.00514432,0.118788,0.113349,0.0464951
235.349333333,1.58679,0.287303,0.793141,1.04278,0.808256,0.83794,0.718653,0.718708,0.00129075,0.0136881,0.764637,0.107997
235.392000000,1.58953,0.0335895,1.01234,0.686876,0.818577,1.08414,0.494858,0.575864,0.176729,0,1.36173,0.154286
235.434666667,1.76257,0.020703,1.02029,0.22578,0.663621,1.44076,0.160901,1.07954,0.227425,0,1.5703,0.174235
235.477333333,1.4549,0.440085,1.00619,0.446474,0.0243596,1.43703,0,1.71168,0.0234883,0,1.47153,0.253653
235.520000000,1.41518,0.202433,1.02111,0.386218,0.0387853,1.06562,0.630778,1.6977,0.0938646,0,1.26485,0.251701
235.562666667,1.15002,0.00190609,1.48248,0.558618,0.0088714,0.831501,1.00214,1.48241,0.0877021,0.103034,1.14383,0.0869516
235.605333333,0.742607,0,1.64985,0.613706,0.0247999,0.915935,1.22865,1.08266,0.134211,0.124247,0.999335,0.614898
235.648000000,0.0480728,0.103486,2.09801,0.407039,0.113775,1.19685,1.09631,0.600946,0.310035,0.690537,0.465499,0.839072
235.690666667,0,0.79266,2.08264,0.199773,0.16563,1.1541,0.866216,0.902294,0.857681,0.82207,0.332551,0.126125
235.733333333,0.0863885,1.06881,1.72984,0.119398,0.382684,0.764734,0.719797,1.17663,0.91492,0.79076,0.379961,0.13081
235.776000000,0.202822,1.30755,1.50911,0.0122803,0.563319,0.559912,0.529583,1.30115,0.675787,0.515887,0.39546,0.168837
235.818666667,0.254062,1.03846,1.55495,0.116905,0.67645,0.735087,0.473192,1.53312,0.412437,0.123847,0.304858,0.12295
235.861333333,0.379964,0.589667,1.45327,0.107768,0.311372,0.976521,0.484417,1.45475,0.690721,0.146233,0.817108,9.39939e-05
235.904000000,0.31647,0.630618,1.10193,0.314942,0,1.43977,0.374026,1.72944,0.775233,0.088653,0.666758,0
235.946666667,0.359203,0.767662,1.18941,0.111959,0.00652517,1.5437,0.187197,1.67136,0.800044,0.0148167,0.596322,0
235.989333333,0.96709,0.786357,1.09546,0.253672,0.007231,1.54262,0.184677,1.18089,0.766875,0.00248361,0.452384,0.0221818
236.032000000,1.27264,0.471368,1.03272,0.943617,0,1.67667,1.04292,0.197385,0.448651,0.145176,0.361344,0.184931
236.074666667,1.76499,0,1.68766,0.870135,0.119095,2.1308,0.617265,0.112881,0,0.473728,0.7747,0.217923
236.117333333,1.57997,0.000691434,1.74106,0.587292,0.0772819,2.24986,0.291012,0.0854989,0,0.693812,0.960117,0.17807
236.160000000,1.13678,0.0237803,1.89194,0.365518,0,2.06748,0.464469,0.0617445,0.035862,0.879399,0.915532,0.18391
