TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
3.968000000,0.47718,0.0475567,0.0253512,0.195189,1.68734,1.50876,0,0.0807373,2.2949,0.229852,0.0522502,0.241928
4.010666667,0.587542,0,0.684521,0.614461,1.00692,1.50426,0,0.175742,1.99599,0.267101,0,0.356462
4.053333333,0.406261,0,1.61686,0.681019,0.185067,1.72928,0,0.11466,2.09828,0.417665,0,0.406877
4.096000000,0.481856,0,2.45857,0.323658,0.106767,1.26417,0,0,1.69963,0.804019,0.605399,0
4.138666667,0.633336,0.000147022,3.00312,0.0930538,0.354057,0.624154,0,0,1.44025,0.867568,1.16146,0
4.181333333,0.517453,0.000537945,3.15881,0.0181716,0.665692,0.535873,0.0079869,0,0.968992,0.88869,1.52788,0.118621
4.224000000,0.210567,0.00098434,2.98323,0.0161699,0.788446,0.456897,0.618443,0.0333163,0.0471964,0.886905,2.07669,0.329253
4.266666667,0.308513,0.00127689,2.61074,0.0441313,0.5285,0.135224,1.39976,0.80713,0.120517,0.800556,1.75529,0.343257
4.309333333,0.33703,0.00148312,1.98321,0.0172977,0.444255,0.210952,1.23357,0.970374,0.914764,0.661378,1.22561,0.135258
4.352000000,0.215824,0.00700257,1.72678,0.104973,0.362903,0.198755,0.685346,0.989261,1.03081,1.43529,0.792872,0.0142658
4.394666667,0.571723,0.00155538,1.7298,0.363557,0.412888,0,0.390097,0.753835,0.692213,1.39945,1.06553,0.025066
4.437333333,1.02791,0.292286,2.28505,0.392738,0.282072,0,0.399185,0.713049,0.306332,1.36071,1.11787,0.0681573
4.480000000,0.681439,1.34141,1.64228,0.0172799,0.0289543,0.231776,0.50737,0.00204106,0.366007,1.42048,0.974953,0.166321
4.522666667,0.510044,1.38335,1.55025,0.0193562,0.0220728,0.57914,0.419957,0.0528998,0.382267,1.04532,0.334197,0.0557939
4.565333333,1.41344,0.731444,1.3407,0.0230765,0.00839182,0.630377,0.243991,0.0191562,0.514119,0.854588,0.221441,0.0001305
4.608000000,1.99707,0.173674,1.15756,0.042176,0.137288,0.844021,0.0301957,0.114137,0.532933,0.876916,0.0449035,1.82332e-05
4.650666667,2.23182,0.152204,0.952537,0.0796293,0.255753,0.701249,0.0222665,0.327067,0.278741,0.897893,0,4.7533e-05
4.693333333,2.19284,0.466335,1.03494,0.0933645,0.206326,0.450463,0.0459419,0.693778,0.0710159,0.89299,0.130199,0
4.736000000,1.34308,0.681163,1.18524,0.0364971,0.112129,0.312476,0.160216,0.440641,0.437695,0.981141,0.600725,0
4.778666667,0.712845,0.269931,1.31048,0.0757993,0.184462,0.349695,0.240398,0.184321,0.433658,0.968835,0.982084,0
4.821333333,0.807737,0.00146936,1.32915,0.141155,0.306591,0.618202,0.275254,0.181716,0.244388,0.943015,1.05023,0
4.864000000,1.55832,0.00125063,1.53523,0.136574,0.387793,0.836827,0.161841,0.215878,0.185878,0.805462,0.82283,0
4.906666667,2.32808,0.000876724,1.95302,0.0904448,0.455274,0.846437,0.0270528,0.130335,0.147301,0.877965,0.764177,7.86018e-05
4.949333333,2.78048,0.00835157,1.95673,0.0467328,0.419318,0.742026,0.0232067,0.0511641,0.0846358,1.28292,1.38744,5.73423e-05
4.992000000,2.42415,0.0121795,1.54178,0.0687968,0.184684,1.26854,0.108421,0.0837376,0.0711407,1.30583,1.7018,0
5.034666667,2.05226,0,1.13595,0.125495,0.0511778,1.45462,0.174889,0.132183,0,1.15713,1.75591,0.00612139
5.077333333,2.21403,0,0.711528,0.05347,0.204259,1.66498,0.145899,0.190383,0,0.878166,1.62505,0.00621914
5.120000000,2.60104,0,0.0759257,0.0459452,0.0665876,1.92019,0.716722,0.155995,0,0.730288,1.16615,5.24177e-05
5.162666667,2.66612,0,0.00866795,0.283942,0.031482,1.96185,0.848947,0.238167,0,0.16235,0.339634,2.14075e-05
5.205333333,2.24463,0.163148,0.863254,0.258278,0.0261595,1.37275,0.712939,0.456556,0,0,0.0566238,0
5.248000000,1.75412,0.460649,1.18466,0.562801,0.0638531,1.31189,0.036782,0.459844,0,0,0,0
5.290666667,1.48212,0.760749,1.3547,0.360204,0.597777,1.07894,0.0413622,0.376801,0.0799347,0,0,0
5.333333333,0.902489,1.66934,1.40973,0.0718936,0.672661,1.07694,0.0407218,0.32024,0.0274569,0,0,0
5.376000000,0.609048,1.88162,1.22046,0,0.645824,1.23364,1.03309,0.278138,0.0664325,0,0,0
5.418666667,0.723883,2.19768,0.929648,0.0179243,0.0563559,1.67674,1.45467,0.183257,0.0289475,0,0.0143076,0
5.461333333,0.845709,2.41073,0.0736358,0.0261946,0.0448293,1.88658,1.40843,0.0311535,0.0282417,0.0119294,0.0138054,0
5.504000000,0.905073,2.11129,0.17613,0.0256716,0.043981,1.84475,1.28854,0,0.0237581,0.192548,0.0175628,0
5.546666667,0.970271,1.71922,0.287234,0.0201868,0.0403869,1.69495,1.23141,0,0.0186009,0.373882,0.023687,0
5.589333333,1.09898,1.22096,0.282161,0.00633087,0.0262385,0.834343,2.40507,0.0726118,0.0129642,0.502033,0.163478,0.000354675
5.632000000,1.61408,0.428381,0.175236,0,0.0229805,1.07451,2.38746,0.0483226,0.00070129,0.428508,1.22046,0.00102765
5.674666667,1.51715,0.0982745,0.089086,0.0321857,0.029618,1.97392,2.0031,0.0425513,0,0.393725,1.5036,0.00105856
5.717333333,1.41717,0,0.130748,0.00034315,0.0576503,2.42267,1.51808,0.0357036,0.12889,0.288079,1.55025,0.0262707
5.760000000,1.19931,0,0.0966841,0.119931,0.515751,2.63251,1.04378,0.0240072,0.353444,0.0249107,1.45057,0.287408
5.802666667,1.3461,0.00189552,0.0597007,1.85808,0.856738,1.28755,0.239745,0.0170612,0.410156,0,1.01617,0.604217
5.845333333,1.1813,0,0,2.15888,0.676585,0.678433,0.0345913,0.527401,0.308504,0,1.00106,0.605797
5.888000000,1.08983,0.38288,0,2.44574,0.263325,0.684493,0.03409,0.902289,0.0502443,0,0.592385,0.281795
5.930666667,1.12671,1.14456,0.335874,2.15598,0.0367084,0.661386,0.0346088,1.11915,0,0,0.739074,0.133982
5.973333333,0.908649,1.32141,0.9292,1.31101,0.0679758,0.64773,0.0490269,1.06839,0,0,0.795657,0.0906347
